strain	date	S1_mutations	clade_membership	country	current_frequency	division	emerging_lineage	epiweek	genbank_accession	host	mutational_fitness	pango_lineage	recency	region	url	author	accession	originating_lab	submitting_lab	logistic_growth
Wuhan-Hu-1/2019	2019-12-26		19A	China		China	19A	201952	MN908947	Homo sapiens		B	Older	Asia		Wu et al				
Wuhan/WH01/2019	2019-12-26		19A	China		Hubei	19A	201952	LR757998	Homo sapiens	-0.01	B	Older	Asia		Hunter et al		BGI, Institute of Microbiology, Chinese Academy of Sciences, Shandong First Medical University and General Hospital of Central Theater Command of People's Liberation Army of China	Beijing Genome Institute	
AUS/SA02/2020	2020-01-30		19A	Australia		South Australia	19A	202005	MT745747	Homo sapiens	0.00	B.1	Older	Oceania		Caly et al A		Victorian Infectious Diseases Reference Laboratory (VIDRL)	The Peter Doherty Institute for Infection and Immunity	
AUS/SA03/2020	2020-01-30		19A	Australia		South Australia	19A	202005	MT745748	Homo sapiens	0.00	B.1	Older	Oceania		Caly et al B		Victorian Infectious Diseases Reference Laboratory (VIDRL)	The Peter Doherty Institute for Infection and Immunity	
GBR/DMSOp13.5/2020	2020-01-29	1.00	19B	United Kingdom		United Kingdom	19B	202005	OK041127	Homo sapiens	0.28	B	Older	Europe		Szemiel et al		MRC-University of Glasgow Centre for Virus Research	MRC-University of Glasgow Centre for Virus Research	
THA/SI206377-NST/2020	2020-03-01		19B	Thailand		Thailand	19B	202010	MT447174	Homo sapiens	0.26	A.6	Older	Asia		Rodpan et al A				
CHN/CN2/2020	2020-01-22		19B	China		Zhejiang	19B	202004	MT407650	Homo sapiens	0.23	A	Older	Asia		Gao et al				
USA/OH-QDX-906/2020	2020-03-20		19B	USA		Ohio	19B	202012	MW064983	Homo sapiens	0.26	A	Older	North America		Rosenthal et al A				
KOR/KCDC03/2020	2020-01-25		19B	South Korea		South Korea	19B	202004	MT020782	Homo sapiens	0.23	A	Older	Asia		Kim et al A				
KOR/KCDC03-NCCP43326/2020	2020-02-06		19B	South Korea		South Korea	19B	202006	MW466791	Homo sapiens	0.23	A	Older	Asia		Kim et al B				
VEN/1Z/2020	2020-03-16	1.00	19B	Venezuela		Venezuela	19B	202012	MT907515	Homo sapiens	0.26	A.2	Older	South America		Loureiro et al A				
LR884122	2020-05-03	1.00	19B	Spain		Spain	19B	202019	LR884122	Homo sapiens	0.27	A.2	Older	Europe		Viedma et al A		Hospital Universitario La Paz	HOSPITAL UNIVERSITARY 12 DE OCTUBRE	
PER/covper068/2020	2020-03-18		19B	Peru		Peru	19B	202012	MW030208	Homo sapiens	0.27	A.2	Older	South America		Juscamayta et al A				
NZL/20CV0297/2020	2020-03-27		19B	New Zealand		Hawkes Bay	19B	202013	OK426868	Homo sapiens	0.34	A.2.2	Older	Oceania		Ren et al A		Canterbury Health Laboratories	Institute of Environmental Science and Research	
AUS/TAS259/2020	2020-05-06		19B	Australia		Tasmania	19B	202019	MT973325	Homo sapiens	0.37	A.2.2	Older	Oceania		Sait et al A		Royal Hobart Hospital Microbiology Department	The Peter Doherty Institute for Infection and Immunity	
AUS/TAS98/2020	2020-04-02		19B	Australia		Tasmania	19B	202014	MT973427	Homo sapiens	0.38	A.2.2	Older	Oceania		Sait et al B		Royal Hobart Hospital Microbiology Department	The Peter Doherty Institute for Infection and Immunity	
AUS/TAS158/2020	2020-05-03	1.00	19B	Australia		Tasmania	19B	202019	MT973468	Homo sapiens	0.47	A.2.2	Older	Oceania		Sait et al C		Royal Hobart Hospital Microbiology Department	The Peter Doherty Institute for Infection and Immunity	
AUS/TAS246/2020	2020-04-18		19B	Australia		Tasmania	19B	202016	MT973315	Homo sapiens	0.38	A.2.2	Older	Oceania		Sait et al D		Royal Hobart Hospital Microbiology Department	The Peter Doherty Institute for Infection and Immunity	
LR884066	2020-03-07	1.00	19B	Spain		Spain	19B	202010	LR884066	Homo sapiens	0.36	A.5	Older	Europe		Viedma et al B		Hospital Universitario La Paz	HOSPITAL UNIVERSITARY 12 DE OCTUBRE	
LR884163	2020-02-27		19B	Spain		Spain	19B	202009	LR884163	Homo sapiens	0.23	A.5	Older	Europe		Viedma et al C		Hospital Universitario La Paz	HOSPITAL UNIVERSITARY 12 DE OCTUBRE	
COL/79256_Antioquia/2020	2020-03-11		19B	Colombia		Antioquia	19B	202011	MT256924	Homo sapiens	0.23	A.5	Older	South America		Mercado-Reyes et al				
URY/Mdeo-1/2020	2020-03-13		19B	Uruguay		Uruguay	19B	202011	MT466071	Homo sapiens	0.23	A.5	Older	South America		Panzera et al A				
